model,mean_pr_auc,std_pr_auc,mean_roc_auc,std_roc_auc
logistic_regression,0.4086800231607198,0.07699962226563357,0.7857544237207078,0.048378704954104956
logistic_lasso,0.40668165262582756,0.06535459244705691,0.7838795632073967,0.05120918791262602
random_forest,0.3358821126964086,0.09021522486131696,0.7520403315797863,0.07600057366806366
